personId,contentId,eventType
-8845298781299428018,-3499919498720038879,VIEW
-1032019229384696495,8890720798209849691,VIEW
-1130272294246983140,310515487419366995,VIEW
344280948527967603,310515487419366995,FOLLOW
-445337111692715325,-7820640624231356730,VIEW
-8763398617720485024,310515487419366995,VIEW
3609194402293569455,-8864073373672512525,VIEW
4254153380739593270,-1492913151930215984,VIEW
344280948527967603,310515487419366995,VIEW
3609194402293569455,3064370296170038610,VIEW
3609194402293569455,310515487419366995,VIEW
1908339160857512799,3460026829794173084,VIEW
1908339160857512799,3460026829794173084,VIEW
1908339160857512799,7763750328910542816,VIEW
7781822014935525018,2372438485070148864,VIEW
8239286975497580612,-348408475077850711,VIEW
8239286975497580612,372531153711028286,VIEW
-445337111692715325,-7820640624231356730,VIEW
2766187446275090740,6521856301289868251,VIEW
1908339160857512799,-8142426490949346803,VIEW
-1130272294246983140,310515487419366995,VIEW
8239286975497580612,7943088471380012839,VIEW
4254153380739593270,-1492913151930215984,VIEW
-8763398617720485024,310515487419366995,VIEW
8239286975497580612,1441248639512899483,VIEW
3609194402293569455,310515487419366995,BOOKMARK
1908339160857512799,7763750328910542816,VIEW
-8763398617720485024,310515487419366995,BOOKMARK
3609194402293569455,-1492913151930215984,VIEW
-1479311724257856983,4306804750094230211,VIEW
3609194402293569455,3064370296170038610,VIEW
3609194402293569455,1582315529508020223,VIEW
3609194402293569455,310515487419366995,VIEW
1908339160857512799,-8142426490949346803,LIKE
-8845298781299428018,-3499919498720038879,VIEW
2766187446275090740,6521856301289868251,VIEW
3609194402293569455,310515487419366995,LIKE
344280948527967603,310515487419366995,BOOKMARK
1908339160857512799,-8142426490949346803,VIEW
3609194402293569455,-8864073373672512525,VIEW
344280948527967603,310515487419366995,LIKE
-108842214936804958,-7820640624231356730,VIEW
3609194402293569455,-1492913151930215984,VIEW
-8763398617720485024,310515487419366995,LIKE
7022645187549453002,-1492913151930215984,VIEW
6879394870211872116,-5924996404988010,VIEW
